"""siteid""","""sitename""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
75,馬祖,1,二氧化硫,SO2,ppb,2024-01-01,1.1
72,埔里,143,小時風速值,WS_HR,m/sec,2024-01-01,0.8
72,埔里,38,相對濕度,RH,%,2024-01-01,79
72,埔里,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,26
72,埔里,31,甲烷,CH4,ppm,2024-01-01,2.17
72,埔里,14,溫度,AMB_TEMP,℃,2024-01-01,19.7
72,埔里,10,風速,WIND_SPEED,m/sec,2024-01-01,1.1
72,埔里,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.08
72,埔里,8,總碳氫化物,THC,ppm,2024-01-01,2.25
72,埔里,7,二氧化氮,NO2,ppb,2024-01-01,7.5
72,埔里,6,一氧化氮,NO,ppb,2024-01-01,1.5
72,埔里,5,氮氧化物,NOx,ppb,2024-01-01,9.1
72,埔里,4,懸浮微粒,PM10,μg/m3,2024-01-01,36
72,埔里,3,臭氧,O3,ppb,2024-01-01,27.6
72,埔里,2,一氧化碳,CO,ppm,2024-01-01,0.44
72,埔里,1,二氧化硫,SO2,ppb,2024-01-01,1.1
71,復興,143,小時風速值,WS_HR,m/sec,2024-01-01,0.5
71,復興,38,相對濕度,RH,%,2024-01-01,70
71,復興,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,49.8
71,復興,31,甲烷,CH4,ppm,2024-01-01,2.27
71,復興,14,溫度,AMB_TEMP,℃,2024-01-01,21.5
71,復興,10,風速,WIND_SPEED,m/sec,2024-01-01,0.9
71,復興,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.13
71,復興,8,總碳氫化物,THC,ppm,2024-01-01,2.41
71,復興,7,二氧化氮,NO2,ppb,2024-01-01,18.4
71,復興,6,一氧化氮,NO,ppb,2024-01-01,1.9
71,復興,5,氮氧化物,NOx,ppb,2024-01-01,20.4
71,復興,4,懸浮微粒,PM10,μg/m3,2024-01-01,81
71,復興,3,臭氧,O3,ppb,2024-01-01,33
71,復興,2,一氧化碳,CO,ppm,2024-01-01,0.67
71,復興,1,二氧化硫,SO2,ppb,2024-01-01,1.4
70,永和,143,小時風速值,WS_HR,m/sec,2024-01-01,1.8
70,永和,38,相對濕度,RH,%,2024-01-01,53
70,永和,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,26.7
70,永和,31,甲烷,CH4,ppm,2024-01-01,2.08
70,永和,14,溫度,AMB_TEMP,℃,2024-01-01,17.7
70,永和,10,風速,WIND_SPEED,m/sec,2024-01-01,2.3
70,永和,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.07
70,永和,8,總碳氫化物,THC,ppm,2024-01-01,2.15
70,永和,7,二氧化氮,NO2,ppb,2024-01-01,8.2
70,永和,6,一氧化氮,NO,ppb,2024-01-01,1.6
70,永和,5,氮氧化物,NOx,ppb,2024-01-01,9.9
70,永和,4,懸浮微粒,PM10,μg/m3,2024-01-01,48
70,永和,3,臭氧,O3,ppb,2024-01-01,41.9
70,永和,2,一氧化碳,CO,ppm,2024-01-01,0.43
70,永和,1,二氧化硫,SO2,ppb,2024-01-01,1.5
69,竹山,143,小時風速值,WS_HR,m/sec,2024-01-01,1
69,竹山,38,相對濕度,RH,%,2024-01-01,74
69,竹山,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,37.6
69,竹山,31,甲烷,CH4,ppm,2024-01-01,2.09
69,竹山,14,溫度,AMB_TEMP,℃,2024-01-01,18.5
69,竹山,10,風速,WIND_SPEED,m/sec,2024-01-01,1.2
69,竹山,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.06
69,竹山,8,總碳氫化物,THC,ppm,2024-01-01,2.16
69,竹山,7,二氧化氮,NO2,ppb,2024-01-01,9.8
69,竹山,6,一氧化氮,NO,ppb,2024-01-01,0.6
69,竹山,5,氮氧化物,NOx,ppb,2024-01-01,10.5
69,竹山,4,懸浮微粒,PM10,μg/m3,2024-01-01,56
69,竹山,3,臭氧,O3,ppb,2024-01-01,36.9
69,竹山,2,一氧化碳,CO,ppm,2024-01-01,0.42
69,竹山,1,二氧化硫,SO2,ppb,2024-01-01,1.1
68,中壢,143,小時風速值,WS_HR,m/sec,2024-01-01,0.4
68,中壢,38,相對濕度,RH,%,2024-01-01,62
68,中壢,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,27.5
68,中壢,31,甲烷,CH4,ppm,2024-01-01,2.1
68,中壢,14,溫度,AMB_TEMP,℃,2024-01-01,16.6
68,中壢,10,風速,WIND_SPEED,m/sec,2024-01-01,1.5
68,中壢,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.1
68,中壢,8,總碳氫化物,THC,ppm,2024-01-01,2.21
68,中壢,7,二氧化氮,NO2,ppb,2024-01-01,13.4
68,中壢,6,一氧化氮,NO,ppb,2024-01-01,5.5
68,中壢,5,氮氧化物,NOx,ppb,2024-01-01,19
68,中壢,4,懸浮微粒,PM10,μg/m3,2024-01-01,48
68,中壢,3,臭氧,O3,ppb,2024-01-01,35.6
68,中壢,2,一氧化碳,CO,ppm,2024-01-01,0.51
68,中壢,1,二氧化硫,SO2,ppb,2024-01-01,1.8
67,三重,38,相對濕度,RH,%,2024-01-01,56
67,三重,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,28.7
67,三重,31,甲烷,CH4,ppm,2024-01-01,2.17
67,三重,14,溫度,AMB_TEMP,℃,2024-01-01,18
67,三重,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.17
67,三重,8,總碳氫化物,THC,ppm,2024-01-01,2.34
67,三重,7,二氧化氮,NO2,ppb,2024-01-01,27.6
67,三重,6,一氧化氮,NO,ppb,2024-01-01,28.2
67,三重,5,氮氧化物,NOx,ppb,2024-01-01,55.8
67,三重,4,懸浮微粒,PM10,μg/m3,2024-01-01,46
67,三重,3,臭氧,O3,ppb,2024-01-01,22.7
67,三重,2,一氧化碳,CO,ppm,2024-01-01,0.84
67,三重,1,二氧化硫,SO2,ppb,2024-01-01,0.9
66,冬山,143,小時風速值,WS_HR,m/sec,2024-01-01,1.1
66,冬山,38,相對濕度,RH,%,2024-01-01,82
66,冬山,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,25.9
66,冬山,14,溫度,AMB_TEMP,℃,2024-01-01,16.1
66,冬山,10,風速,WIND_SPEED,m/sec,2024-01-01,1.2
66,冬山,7,二氧化氮,NO2,ppb,2024-01-01,5.9
66,冬山,6,一氧化氮,NO,ppb,2024-01-01,1.2
66,冬山,5,氮氧化物,NOx,ppb,2024-01-01,7.2
66,冬山,4,懸浮微粒,PM10,μg/m3,2024-01-01,49
66,冬山,3,臭氧,O3,ppb,2024-01-01,37.1
66,冬山,2,一氧化碳,CO,ppm,2024-01-01,0.39
66,冬山,1,二氧化硫,SO2,ppb,2024-01-01,0.5
65,宜蘭,143,小時風速值,WS_HR,m/sec,2024-01-01,0.4
65,宜蘭,38,相對濕度,RH,%,2024-01-01,70
65,宜蘭,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,29.4
65,宜蘭,31,甲烷,CH4,ppm,2024-01-01,2.09
65,宜蘭,14,溫度,AMB_TEMP,℃,2024-01-01,17.2
65,宜蘭,10,風速,WIND_SPEED,m/sec,2024-01-01,0.8
65,宜蘭,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.05
65,宜蘭,8,總碳氫化物,THC,ppm,2024-01-01,2.14
65,宜蘭,7,二氧化氮,NO2,ppb,2024-01-01,4.3
65,宜蘭,6,一氧化氮,NO,ppb,2024-01-01,0.3
65,宜蘭,5,氮氧化物,NOx,ppb,2024-01-01,4.7
65,宜蘭,4,懸浮微粒,PM10,μg/m3,2024-01-01,50
65,宜蘭,3,臭氧,O3,ppb,2024-01-01,39
65,宜蘭,2,一氧化碳,CO,ppm,2024-01-01,0.37
65,宜蘭,1,二氧化硫,SO2,ppb,2024-01-01,1.1
64,陽明,38,相對濕度,RH,%,2024-01-01,96
64,陽明,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,20.1
64,陽明,14,溫度,AMB_TEMP,℃,2024-01-01,8.8
64,陽明,10,風速,WIND_SPEED,m/sec,2024-01-01,2.1
64,陽明,7,二氧化氮,NO2,ppb,2024-01-01,2.3
64,陽明,6,一氧化氮,NO,ppb,2024-01-01,0.5
64,陽明,5,氮氧化物,NOx,ppb,2024-01-01,2.9
64,陽明,4,懸浮微粒,PM10,μg/m3,2024-01-01,36
64,陽明,3,臭氧,O3,ppb,2024-01-01,46
64,陽明,2,一氧化碳,CO,ppm,2024-01-01,0.34
64,陽明,1,二氧化硫,SO2,ppb,2024-01-01,1.1
63,花蓮,143,小時風速值,WS_HR,m/sec,2024-01-01,1.8
63,花蓮,38,相對濕度,RH,%,2024-01-01,68
63,花蓮,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,22.6
63,花蓮,32,降雨強度,RAIN_INT,㎜,2024-01-01,0
63,花蓮,31,甲烷,CH4,ppm,2024-01-01,2.04
63,花蓮,14,溫度,AMB_TEMP,℃,2024-01-01,18.8
63,花蓮,10,風速,WIND_SPEED,m/sec,2024-01-01,2.3
63,花蓮,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.04
63,花蓮,8,總碳氫化物,THC,ppm,2024-01-01,2.09
63,花蓮,7,二氧化氮,NO2,ppb,2024-01-01,5
63,花蓮,6,一氧化氮,NO,ppb,2024-01-01,0.6
63,花蓮,5,氮氧化物,NOx,ppb,2024-01-01,5.6
63,花蓮,4,懸浮微粒,PM10,μg/m3,2024-01-01,35
63,花蓮,3,臭氧,O3,ppb,2024-01-01,43.6
63,花蓮,2,一氧化碳,CO,ppm,2024-01-01,0.4
63,花蓮,1,二氧化硫,SO2,ppb,2024-01-01,0.7
62,臺東,143,小時風速值,WS_HR,m/sec,2024-01-01,1.2
62,臺東,38,相對濕度,RH,%,2024-01-01,65
62,臺東,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,19
62,臺東,31,甲烷,CH4,ppm,2024-01-01,2.09
62,臺東,14,溫度,AMB_TEMP,℃,2024-01-01,19.5
62,臺東,10,風速,WIND_SPEED,m/sec,2024-01-01,1.6
62,臺東,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.05
62,臺東,8,總碳氫化物,THC,ppm,2024-01-01,2.15
62,臺東,7,二氧化氮,NO2,ppb,2024-01-01,4.3
62,臺東,6,一氧化氮,NO,ppb,2024-01-01,0.5
62,臺東,5,氮氧化物,NOx,ppb,2024-01-01,4.9
62,臺東,4,懸浮微粒,PM10,μg/m3,2024-01-01,28
62,臺東,3,臭氧,O3,ppb,2024-01-01,45
62,臺東,2,一氧化碳,CO,ppm,2024-01-01,0.38
62,臺東,1,二氧化硫,SO2,ppb,2024-01-01,0.5
61,恆春,143,小時風速值,WS_HR,m/sec,2024-01-01,7.7
61,恆春,38,相對濕度,RH,%,2024-01-01,70
61,恆春,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,14.7
61,恆春,32,降雨強度,RAIN_INT,㎜,2024-01-01,0
61,恆春,14,溫度,AMB_TEMP,℃,2024-01-01,20.7
61,恆春,10,風速,WIND_SPEED,m/sec,2024-01-01,8.3
61,恆春,7,二氧化氮,NO2,ppb,2024-01-01,2.4
61,恆春,6,一氧化氮,NO,ppb,2024-01-01,0.3
61,恆春,5,氮氧化物,NOx,ppb,2024-01-01,2.7
61,恆春,4,懸浮微粒,PM10,μg/m3,2024-01-01,22
61,恆春,3,臭氧,O3,ppb,2024-01-01,55.3
61,恆春,2,一氧化碳,CO,ppm,2024-01-01,0.36
61,恆春,1,二氧化硫,SO2,ppb,2024-01-01,0.6
60,潮州,143,小時風速值,WS_HR,m/sec,2024-01-01,0.8
60,潮州,38,相對濕度,RH,%,2024-01-01,72
60,潮州,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,38.9
60,潮州,31,甲烷,CH4,ppm,2024-01-01,2.39
60,潮州,14,溫度,AMB_TEMP,℃,2024-01-01,22
60,潮州,10,風速,WIND_SPEED,m/sec,2024-01-01,1.1
60,潮州,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.08
60,潮州,8,總碳氫化物,THC,ppm,2024-01-01,2.48
60,潮州,7,二氧化氮,NO2,ppb,2024-01-01,8.2
60,潮州,6,一氧化氮,NO,ppb,2024-01-01,1.3
60,潮州,5,氮氧化物,NOx,ppb,2024-01-01,9.7
60,潮州,4,懸浮微粒,PM10,μg/m3,2024-01-01,60
60,潮州,3,臭氧,O3,ppb,2024-01-01,26.5
60,潮州,2,一氧化碳,CO,ppm,2024-01-01,0.55
60,潮州,1,二氧化硫,SO2,ppb,2024-01-01,1.1
59,屏東,143,小時風速值,WS_HR,m/sec,2024-01-01,0.7
59,屏東,38,相對濕度,RH,%,2024-01-01,68
59,屏東,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,54.4
59,屏東,31,甲烷,CH4,ppm,2024-01-01,2.31
59,屏東,14,溫度,AMB_TEMP,℃,2024-01-01,21.9
59,屏東,10,風速,WIND_SPEED,m/sec,2024-01-01,1
59,屏東,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.11
59,屏東,8,總碳氫化物,THC,ppm,2024-01-01,2.44
59,屏東,7,二氧化氮,NO2,ppb,2024-01-01,14.5
59,屏東,6,一氧化氮,NO,ppb,2024-01-01,1.2
59,屏東,5,氮氧化物,NOx,ppb,2024-01-01,15.8
59,屏東,4,懸浮微粒,PM10,μg/m3,2024-01-01,81
59,屏東,3,臭氧,O3,ppb,2024-01-01,32.3
59,屏東,2,一氧化碳,CO,ppm,2024-01-01,0.57
59,屏東,1,二氧化硫,SO2,ppb,2024-01-01,2.1
58,小港,143,小時風速值,WS_HR,m/sec,2024-01-01,1.3
58,小港,38,相對濕度,RH,%,2024-01-01,71
58,小港,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,46
58,小港,31,甲烷,CH4,ppm,2024-01-01,2.24
58,小港,14,溫度,AMB_TEMP,℃,2024-01-01,22.1
58,小港,10,風速,WIND_SPEED,m/sec,2024-01-01,1.5
58,小港,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.12
58,小港,8,總碳氫化物,THC,ppm,2024-01-01,2.37
58,小港,7,二氧化氮,NO2,ppb,2024-01-01,21.1
58,小港,6,一氧化氮,NO,ppb,2024-01-01,0.8
58,小港,5,氮氧化物,NOx,ppb,2024-01-01,21.9
58,小港,4,懸浮微粒,PM10,μg/m3,2024-01-01,76
58,小港,3,臭氧,O3,ppb,2024-01-01,32.1
58,小港,2,一氧化碳,CO,ppm,2024-01-01,0.59
58,小港,1,二氧化硫,SO2,ppb,2024-01-01,2
57,前鎮,143,小時風速值,WS_HR,m/sec,2024-01-01,1.5
57,前鎮,38,相對濕度,RH,%,2024-01-01,69
57,前鎮,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,49.6
57,前鎮,31,甲烷,CH4,ppm,2024-01-01,2.2
57,前鎮,14,溫度,AMB_TEMP,℃,2024-01-01,21.8
57,前鎮,10,風速,WIND_SPEED,m/sec,2024-01-01,1.7
57,前鎮,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.11
57,前鎮,8,總碳氫化物,THC,ppm,2024-01-01,2.31
57,前鎮,7,二氧化氮,NO2,ppb,2024-01-01,19.4
57,前鎮,6,一氧化氮,NO,ppb,2024-01-01,2
57,前鎮,5,氮氧化物,NOx,ppb,2024-01-01,21.5
57,前鎮,4,懸浮微粒,PM10,μg/m3,2024-01-01,79
57,前鎮,3,臭氧,O3,ppb,2024-01-01,32.5
57,前鎮,2,一氧化碳,CO,ppm,2024-01-01,0.62
57,前鎮,1,二氧化硫,SO2,ppb,2024-01-01,2.2
56,前金,143,小時風速值,WS_HR,m/sec,2024-01-01,2.2
56,前金,38,相對濕度,RH,%,2024-01-01,74
56,前金,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,45.2
56,前金,31,甲烷,CH4,ppm,2024-01-01,2.21
56,前金,14,溫度,AMB_TEMP,℃,2024-01-01,21.1
56,前金,10,風速,WIND_SPEED,m/sec,2024-01-01,2.4
56,前金,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.09
56,前金,8,總碳氫化物,THC,ppm,2024-01-01,2.31
56,前金,7,二氧化氮,NO2,ppb,2024-01-01,13.2
56,前金,6,一氧化氮,NO,ppb,2024-01-01,0.9
56,前金,5,氮氧化物,NOx,ppb,2024-01-01,14.2
56,前金,4,懸浮微粒,PM10,μg/m3,2024-01-01,83
56,前金,3,臭氧,O3,ppb,2024-01-01,36.7
56,前金,2,一氧化碳,CO,ppm,2024-01-01,0.59
56,前金,1,二氧化硫,SO2,ppb,2024-01-01,1.8
54,左營,143,小時風速值,WS_HR,m/sec,2024-01-01,1.7
54,左營,38,相對濕度,RH,%,2024-01-01,72
54,左營,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,50
54,左營,31,甲烷,CH4,ppm,2024-01-01,2.19
54,左營,14,溫度,AMB_TEMP,℃,2024-01-01,20.7
54,左營,10,風速,WIND_SPEED,m/sec,2024-01-01,1.8
54,左營,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.08
54,左營,8,總碳氫化物,THC,ppm,2024-01-01,2.27
54,左營,7,二氧化氮,NO2,ppb,2024-01-01,13.8
54,左營,6,一氧化氮,NO,ppb,2024-01-01,1.2
54,左營,5,氮氧化物,NOx,ppb,2024-01-01,15.1
54,左營,4,懸浮微粒,PM10,μg/m3,2024-01-01,75
54,左營,3,臭氧,O3,ppb,2024-01-01,36.7
54,左營,2,一氧化碳,CO,ppm,2024-01-01,0.55
54,左營,1,二氧化硫,SO2,ppb,2024-01-01,2
53,楠梓,143,小時風速值,WS_HR,m/sec,2024-01-01,0.8
53,楠梓,38,相對濕度,RH,%,2024-01-01,76
53,楠梓,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,42.1
53,楠梓,31,甲烷,CH4,ppm,2024-01-01,2.25
53,楠梓,14,溫度,AMB_TEMP,℃,2024-01-01,20.3
53,楠梓,10,風速,WIND_SPEED,m/sec,2024-01-01,1.1
53,楠梓,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.07
53,楠梓,8,總碳氫化物,THC,ppm,2024-01-01,2.31
53,楠梓,7,二氧化氮,NO2,ppb,2024-01-01,14.3
53,楠梓,6,一氧化氮,NO,ppb,2024-01-01,1
53,楠梓,5,氮氧化物,NOx,ppb,2024-01-01,15.5
53,楠梓,4,懸浮微粒,PM10,μg/m3,2024-01-01,75
53,楠梓,3,臭氧,O3,ppb,2024-01-01,35.2
53,楠梓,2,一氧化碳,CO,ppm,2024-01-01,0.49
53,楠梓,1,二氧化硫,SO2,ppb,2024-01-01,2
52,林園,143,小時風速值,WS_HR,m/sec,2024-01-01,1.2
52,林園,38,相對濕度,RH,%,2024-01-01,70
52,林園,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,50.2
52,林園,31,甲烷,CH4,ppm,2024-01-01,2.27
52,林園,14,溫度,AMB_TEMP,℃,2024-01-01,22.6
52,林園,10,風速,WIND_SPEED,m/sec,2024-01-01,1.4
52,林園,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.17
52,林園,8,總碳氫化物,THC,ppm,2024-01-01,2.45
52,林園,7,二氧化氮,NO2,ppb,2024-01-01,15.9
52,林園,6,一氧化氮,NO,ppb,2024-01-01,0.6
52,林園,5,氮氧化物,NOx,ppb,2024-01-01,16.6
52,林園,4,懸浮微粒,PM10,μg/m3,2024-01-01,88
52,林園,3,臭氧,O3,ppb,2024-01-01,36.3
52,林園,2,一氧化碳,CO,ppm,2024-01-01,0.53
52,林園,1,二氧化硫,SO2,ppb,2024-01-01,2
51,大寮,143,小時風速值,WS_HR,m/sec,2024-01-01,1
51,大寮,38,相對濕度,RH,%,2024-01-01,72
51,大寮,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,54
51,大寮,31,甲烷,CH4,ppm,2024-01-01,2.24
51,大寮,14,溫度,AMB_TEMP,℃,2024-01-01,22.1
51,大寮,10,風速,WIND_SPEED,m/sec,2024-01-01,1.2
51,大寮,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.12
51,大寮,8,總碳氫化物,THC,ppm,2024-01-01,2.36
51,大寮,7,二氧化氮,NO2,ppb,2024-01-01,19.4
51,大寮,6,一氧化氮,NO,ppb,2024-01-01,1.5
51,大寮,5,氮氧化物,NOx,ppb,2024-01-01,21.1
51,大寮,4,懸浮微粒,PM10,μg/m3,2024-01-01,85
51,大寮,3,臭氧,O3,ppb,2024-01-01,31.3
51,大寮,2,一氧化碳,CO,ppm,2024-01-01,0.6
